ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value
2021S05075350510.00,5350510.00,5350510.00,5388.0,2009.0,1955.0,128000.0,108000.0,0.07672634271099744,1805.0,150.0,1200000.0,17400.0,1180.0,1450.0,1200000.0
2021S05075350511.01,5350511.01,5350511.01,6086.0,2648.0,2535.0,70000.0,63600.0,0.8895463510848126,280.0,2255.0,552000.0,17040.0,1580.0,1420.0,552000.0
2021S05075350511.02,5350511.02,5350511.02,4795.0,1889.0,1820.0,88000.0,78500.0,0.39335180055401664,1095.0,710.0,990000.0,15360.0,1660.0,1280.0,990000.0
2021S05075350512.00,5350512.00,5350512.00,6056.0,2321.0,2225.0,77000.0,69500.0,0.546875,1020.0,1225.0,1200000.0,17760.0,1430.0,1480.0,1200000.0
2021S05075350513.01,5350513.01,5350513.01,6781.0,2483.0,2425.0,116000.0,100000.0,0.13402061855670103,2100.0,325.0,1100000.0,18840.0,1560.0,1570.0,1100000.0
2021S05075350513.02,5350513.02,5350513.02,6215.0,2475.0,2405.0,69500.0,63600.0,0.56875,1035.0,1365.0,900000.0,15120.0,1300.0,1260.0,900000.0
2021S05075350513.03,5350513.03,5350513.03,3297.0,1182.0,1135.0,80000.0,71000.0,0.6578947368421053,390.0,750.0,1200000.0,15720.0,1900.0,1310.0,1200000.0
2021S05075350513.04,5350513.04,5350513.04,3662.0,1253.0,1215.0,115000.0,101000.0,0.15637860082304528,1020.0,190.0,1000000.0,18600.0,1660.0,1550.0,1000000.0
2021S05075350514.01,5350514.01,5350514.01,2355.0,789.0,760.0,184000.0,151000.0,0.052980132450331126,715.0,40.0,2000000.0,47520.0,2320.0,3960.0,2000000.0
2021S05075350514.02,5350514.02,5350514.02,5464.0,1844.0,1770.0,87000.0,79500.0,0.5211267605633803,855.0,925.0,1400000.0,16080.0,1490.0,1340.0,1400000.0
2021S05075350515.01,5350515.01,5350515.01,4185.0,1515.0,1485.0,122000.0,103000.0,0.15151515151515152,1265.0,225.0,900000.0,19680.0,1540.0,1640.0,900000.0
2021S05075350515.02,5350515.02,5350515.02,3771.0,1385.0,1345.0,102000.0,89000.0,0.337037037037037,895.0,455.0,1000000.0,14880.0,1490.0,1240.0,1000000.0
2021S05075350516.01,5350516.01,5350516.01,5393.0,1817.0,1795.0,125000.0,106000.0,0.11420612813370473,1585.0,205.0,900000.0,15600.0,1760.0,1300.0,900000.0
2021S05075350516.02,5350516.02,5350516.02,4749.0,1582.0,1555.0,124000.0,107000.0,0.05396825396825397,1490.0,85.0,800000.0,22560.0,1980.0,1880.0,800000.0
2021S05075350516.03,5350516.03,5350516.03,5630.0,2215.0,2170.0,94000.0,83000.0,0.17511520737327188,1795.0,380.0,650000.0,15720.0,1840.0,1310.0,650000.0
2021S05075350516.04,5350516.04,5350516.04,6257.0,2651.0,2525.0,81000.0,71000.0,0.7821782178217822,555.0,1975.0,800000.0,20160.0,1640.0,1680.0,800000.0
